name,params,hold,15m_pnl,15m_win,15m_trades,15m_pf,60m_pnl,60m_win,60m_trades,60m_pf,1d_pnl,1d_win,1d_trades,1d_pf
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",1,-30376.99,2.8,363.0,0.02,-12529.72,14.7,143.0,0.15,-1783.54,31.2,16.0,0.23
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",2,-24567.22,3.1,289.0,0.03,-8949.24,17.3,110.0,0.22,-1467.63,23.1,13.0,0.31
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",3,-19136.19,6.3,239.0,0.06,-7713.75,18.3,93.0,0.25,-1365.8,30.0,10.0,0.14
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",5,-15334.44,12.3,179.0,0.1,-5792.36,30.1,73.0,0.39,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",7,-12774.71,13.0,146.0,0.08,-5301.97,34.5,58.0,0.36,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",10,-8615.36,19.6,112.0,0.22,-4226.88,37.8,45.0,0.44,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",1,-22211.55,2.2,273.0,0.02,-9985.55,12.4,105.0,0.06,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",2,-18320.66,3.6,222.0,0.05,-8483.14,14.8,81.0,0.08,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",3,-14417.64,6.0,184.0,0.05,-7154.62,18.6,70.0,0.14,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",5,-11140.12,10.8,139.0,0.09,-5916.65,24.1,54.0,0.24,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",7,-9121.06,16.9,118.0,0.13,-4407.89,30.2,43.0,0.25,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",10,-8391.9,12.9,93.0,0.14,-4063.27,25.7,35.0,0.3,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",1,-16098.09,1.5,196.0,0.02,-6678.82,14.5,83.0,0.1,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",2,-13245.21,2.0,153.0,0.03,-5968.24,18.5,65.0,0.1,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",3,-10713.88,3.8,133.0,0.05,-4744.22,21.8,55.0,0.17,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",5,-8305.8,7.8,103.0,0.09,-4870.03,25.0,44.0,0.19,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",7,-7354.06,8.2,85.0,0.08,-5481.83,24.3,37.0,0.1,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",10,-5551.79,18.6,70.0,0.19,-2321.46,41.4,29.0,0.46,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",1,-9222.0,3.4,119.0,0.06,-5307.55,10.7,56.0,0.09,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",2,-8118.68,4.0,99.0,0.08,-5627.24,4.5,44.0,0.0,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",3,-6645.55,5.9,85.0,0.07,-3500.61,21.6,37.0,0.14,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",5,-5760.72,6.0,67.0,0.11,-3363.07,22.6,31.0,0.16,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",7,-4574.72,12.7,55.0,0.18,-3421.38,23.1,26.0,0.19,,,,
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",10,-3954.35,13.6,44.0,0.15,-2799.92,28.6,21.0,0.16,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",1,-27523.9,2.4,334.0,0.02,-11098.23,7.4,122.0,0.07,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",2,-22650.82,3.0,263.0,0.02,-9697.25,14.4,97.0,0.11,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",3,-19417.8,4.8,228.0,0.05,-9418.89,17.0,88.0,0.15,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",5,-15919.85,7.1,168.0,0.04,-8258.14,21.5,65.0,0.16,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",7,-11676.02,11.8,136.0,0.09,-6647.38,24.1,54.0,0.13,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",10,-9618.71,17.0,106.0,0.15,-4854.81,30.0,40.0,0.27,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",1,-19987.08,2.0,245.0,0.02,-8324.45,6.9,87.0,0.04,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",2,-15929.79,4.6,197.0,0.05,-6870.93,18.3,71.0,0.13,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",3,-13539.53,5.3,170.0,0.04,-6678.59,20.6,63.0,0.17,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",5,-10539.9,9.0,133.0,0.1,-5133.8,28.3,46.0,0.24,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",7,-9345.28,13.3,113.0,0.13,-3616.65,28.2,39.0,0.24,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",10,-7959.14,17.8,90.0,0.17,-4189.47,25.8,31.0,0.23,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",1,-14668.27,1.7,177.0,0.02,-5366.83,9.1,66.0,0.07,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",2,-11801.03,2.9,137.0,0.03,-4031.04,22.6,53.0,0.14,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",3,-10096.49,4.1,123.0,0.05,-3896.98,19.6,46.0,0.17,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",5,-7206.23,9.6,94.0,0.11,-4028.4,26.3,38.0,0.19,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",7,-7200.81,7.5,80.0,0.11,-2964.44,29.0,31.0,0.15,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",10,-5730.75,17.6,68.0,0.18,-3049.94,36.0,25.0,0.28,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",1,-8439.71,2.9,105.0,0.06,-4408.82,6.5,46.0,0.05,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",2,-7112.78,4.7,85.0,0.09,-4016.39,13.2,38.0,0.02,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",3,-6346.9,5.4,74.0,0.07,-3020.16,18.8,32.0,0.11,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",5,-4576.68,8.6,58.0,0.14,-2807.78,23.1,26.0,0.11,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",7,-4648.3,9.6,52.0,0.16,-1928.99,22.7,22.0,0.26,,,,
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",10,-3766.72,12.2,41.0,0.13,-2008.73,35.3,17.0,0.17,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",1,-26506.14,3.6,337.0,0.02,-9759.3,12.9,124.0,0.11,-1992.62,15.4,13.0,0.18
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",2,-22396.5,4.1,271.0,0.03,-9159.9,19.4,98.0,0.14,-1733.46,18.2,11.0,0.17
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",3,-17919.91,7.1,224.0,0.05,-8426.41,18.1,83.0,0.11,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",5,-13306.37,10.7,168.0,0.08,-8018.73,23.1,65.0,0.19,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",7,-10213.79,12.3,130.0,0.1,-4556.74,23.5,51.0,0.29,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",10,-9946.48,15.0,107.0,0.13,-4904.66,31.0,42.0,0.3,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",1,-20770.01,2.7,258.0,0.01,-8738.26,8.2,98.0,0.04,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",2,-16391.24,5.3,207.0,0.05,-7256.33,17.1,76.0,0.1,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",3,-13839.08,6.3,174.0,0.04,-6107.8,18.5,65.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",5,-10463.9,9.1,132.0,0.08,-6524.15,22.6,53.0,0.18,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",7,-8066.67,14.2,106.0,0.12,-4456.91,24.4,41.0,0.22,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",10,-7451.3,12.8,86.0,0.14,-4264.29,28.6,35.0,0.27,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",1,-15124.17,2.7,185.0,0.02,-6423.45,8.9,79.0,0.06,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",2,-11717.44,4.2,143.0,0.05,-5328.75,18.3,60.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",3,-10013.23,4.1,122.0,0.06,-5050.0,19.2,52.0,0.11,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",5,-7016.28,8.5,94.0,0.11,-5221.54,19.5,41.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",7,-6361.37,7.8,77.0,0.08,-2927.55,28.1,32.0,0.19,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",10,-5118.42,16.7,66.0,0.19,-2664.24,37.0,27.0,0.35,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",1,-9422.31,3.5,115.0,0.04,-5233.79,13.8,58.0,0.08,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",2,-8184.2,6.2,96.0,0.06,-5105.52,13.3,45.0,0.01,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",3,-6755.25,7.4,81.0,0.08,-3523.85,13.5,37.0,0.08,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",5,-4934.35,6.6,61.0,0.12,-3524.43,16.7,30.0,0.08,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",7,-4450.3,13.2,53.0,0.16,-2581.08,24.0,25.0,0.19,,,,
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",10,-3877.55,11.6,43.0,0.13,-2215.03,33.3,18.0,0.18,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",1,-26706.16,2.5,324.0,0.01,-11606.51,5.8,121.0,0.04,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",2,-21864.85,3.8,261.0,0.03,-8230.45,19.4,93.0,0.15,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",3,-18800.1,4.2,216.0,0.05,-7246.67,20.3,79.0,0.18,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",5,-13260.56,5.7,158.0,0.07,-6851.22,25.0,60.0,0.2,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",7,-11726.14,8.5,130.0,0.08,-4518.52,25.5,47.0,0.27,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",10,-9835.31,14.3,105.0,0.12,-5186.51,30.0,40.0,0.26,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",1,-19966.93,1.7,240.0,0.01,-9392.68,5.3,94.0,0.02,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",2,-15553.63,5.1,195.0,0.05,-6434.31,18.3,71.0,0.13,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",3,-13453.96,4.9,162.0,0.04,-5765.58,20.0,60.0,0.16,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",5,-9680.85,6.6,121.0,0.09,-5106.8,27.7,47.0,0.2,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",7,-8775.02,9.8,102.0,0.12,-4555.67,27.0,37.0,0.19,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",10,-7098.6,18.3,82.0,0.15,-5453.88,18.2,33.0,0.13,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",1,-14613.97,2.3,175.0,0.02,-6729.3,6.8,73.0,0.04,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",2,-11673.19,3.6,137.0,0.04,-4777.9,20.0,55.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",3,-9439.56,3.4,117.0,0.06,-4321.06,21.7,46.0,0.14,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",5,-6800.96,6.7,89.0,0.11,-3750.63,25.0,36.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",7,-6361.06,5.5,73.0,0.08,-2812.02,28.6,28.0,0.13,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",10,-5459.74,16.9,65.0,0.18,-2812.65,30.8,26.0,0.28,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",1,-9119.84,2.7,111.0,0.04,-5118.86,13.0,54.0,0.07,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",2,-8056.2,5.4,93.0,0.06,-4317.71,14.3,42.0,0.01,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",3,-6344.24,6.5,77.0,0.08,-3337.8,11.4,35.0,0.08,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",5,-5182.51,5.1,59.0,0.11,-2941.22,17.9,28.0,0.1,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",7,-4661.06,9.4,53.0,0.15,-2268.69,26.1,23.0,0.21,,,,
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",10,-4111.84,9.3,43.0,0.12,-1868.53,35.3,17.0,0.21,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",1,-23654.07,2.8,286.0,0.01,-9938.22,11.3,106.0,0.06,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",2,-19305.9,3.9,228.0,0.03,-7653.25,18.1,83.0,0.15,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",3,-17628.34,4.6,195.0,0.04,-7183.2,22.2,72.0,0.15,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",5,-12245.48,10.3,145.0,0.08,-7306.17,23.2,56.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",7,-10894.95,9.2,119.0,0.1,-5533.81,27.3,44.0,0.17,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",10,-8156.54,16.0,94.0,0.14,-4898.33,22.2,36.0,0.2,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",1,-18249.83,1.8,222.0,0.01,-8282.18,8.3,84.0,0.03,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",2,-13998.29,5.6,177.0,0.06,-5085.96,21.0,62.0,0.17,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",3,-13058.71,5.3,152.0,0.04,-4814.6,22.6,53.0,0.19,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",5,-9268.0,10.5,114.0,0.1,-4255.53,31.0,42.0,0.24,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",7,-7765.28,10.4,96.0,0.15,-3672.69,30.3,33.0,0.18,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",10,-6235.92,20.5,78.0,0.16,-4281.2,17.2,29.0,0.1,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",1,-13706.46,2.4,168.0,0.02,-5484.89,8.2,61.0,0.05,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",2,-10590.57,3.8,130.0,0.05,-3921.93,21.3,47.0,0.12,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",3,-9060.12,4.5,112.0,0.06,-3229.75,22.5,40.0,0.17,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",5,-6345.47,8.1,86.0,0.1,-3316.09,21.9,32.0,0.14,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",7,-5274.83,8.6,70.0,0.15,-2326.85,36.0,25.0,0.19,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",10,-4306.69,20.0,60.0,0.22,-2452.68,34.8,23.0,0.26,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",1,-8728.45,2.8,107.0,0.04,-4619.07,8.9,45.0,0.05,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",2,-6905.77,5.7,88.0,0.09,-3455.52,14.3,35.0,0.01,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",3,-5799.69,8.0,75.0,0.1,-2738.99,10.0,30.0,0.07,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",5,-4698.21,7.1,56.0,0.1,-2646.85,16.7,24.0,0.06,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",7,-3961.44,11.8,51.0,0.2,-1833.97,30.0,20.0,0.21,,,,
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",10,-3054.51,12.5,40.0,0.19,-1603.83,40.0,15.0,0.23,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",1,-25856.76,2.2,323.0,0.02,-9937.97,9.2,119.0,0.07,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",2,-20012.3,4.0,249.0,0.05,-9477.03,15.1,93.0,0.08,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",3,-16463.22,5.9,205.0,0.06,-7795.29,21.5,79.0,0.18,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",5,-12003.07,7.8,154.0,0.09,-7040.02,25.0,60.0,0.16,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",7,-10004.22,15.6,128.0,0.11,-5102.2,25.5,47.0,0.17,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",10,-7641.71,18.2,99.0,0.15,-4125.97,31.6,38.0,0.26,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",1,-19868.9,1.6,250.0,0.03,-7980.71,7.9,89.0,0.03,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",2,-15041.72,4.7,191.0,0.05,-7206.08,15.5,71.0,0.05,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",3,-12589.13,6.9,160.0,0.06,-5759.36,23.7,59.0,0.18,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",5,-8660.61,9.2,120.0,0.12,-5194.59,28.9,45.0,0.15,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",7,-7351.66,13.3,98.0,0.13,-4506.59,27.8,36.0,0.12,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",10,-5670.41,17.7,79.0,0.19,-4226.31,23.3,30.0,0.19,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",1,-14260.13,3.3,184.0,0.04,-6203.33,8.0,75.0,0.03,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",2,-11770.33,3.4,145.0,0.03,-4936.79,19.0,58.0,0.1,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",3,-9587.9,4.2,120.0,0.07,-3967.42,29.2,48.0,0.22,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",5,-6958.48,8.8,91.0,0.12,-3961.4,25.0,36.0,0.13,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",7,-5495.4,10.7,75.0,0.15,-3334.5,27.6,29.0,0.14,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",10,-4417.35,19.4,62.0,0.19,-2234.7,40.0,25.0,0.34,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",1,-10473.77,3.1,129.0,0.06,-5085.81,10.7,56.0,0.07,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",2,-8087.61,4.1,98.0,0.05,-4724.81,11.4,44.0,0.01,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",3,-6211.37,7.4,81.0,0.11,-3377.99,18.9,37.0,0.1,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",5,-5144.52,6.6,61.0,0.12,-3318.77,17.2,29.0,0.09,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",7,-4850.84,12.5,56.0,0.14,-2190.16,29.2,24.0,0.22,,,,
trend_sma,"{'fast': 20, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",10,-3458.82,14.0,43.0,0.16,-2319.57,33.3,18.0,0.17,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",1,-23604.99,2.1,286.0,0.02,-8929.38,10.3,97.0,0.07,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",2,-18560.09,3.6,223.0,0.04,-10181.31,12.5,80.0,0.07,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",3,-14981.26,5.5,182.0,0.06,-8007.36,17.2,64.0,0.11,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",5,-11930.58,9.2,141.0,0.09,-6979.42,13.5,52.0,0.13,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",7,-9065.06,14.3,112.0,0.11,-5286.59,29.3,41.0,0.15,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",10,-7726.15,17.2,87.0,0.14,-4898.93,24.2,33.0,0.12,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",1,-18105.59,1.8,225.0,0.02,-6872.52,11.8,76.0,0.08,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",2,-13785.01,5.2,173.0,0.06,-7415.85,14.8,61.0,0.09,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",3,-11151.67,7.0,143.0,0.07,-5515.61,20.4,49.0,0.15,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",5,-8459.22,9.9,111.0,0.11,-4811.99,17.5,40.0,0.16,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",7,-6146.33,14.8,88.0,0.15,-3955.33,32.3,31.0,0.16,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",10,-5462.6,18.3,71.0,0.22,-3307.71,28.0,25.0,0.15,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",1,-13010.15,3.6,169.0,0.04,-5095.38,11.5,61.0,0.11,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",2,-10769.48,3.0,132.0,0.02,-4716.07,18.8,48.0,0.14,,,,
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",3,-8277.23,5.5,109.0,0.09,-3601.71,21.1,38.0,0.17,,,,
